Museum,Region,Regional_Unit,Place_ID,Google_Maps_URL,Name_Found,Address,Rating,Ratings_Total,Lat,Lng,Geo_Status
Αρχαιολογικό Μουσείο Αγρινίου,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,ChIJP4IXLHKKXhMR5Hi79o3wOJw,https://www.google.com/maps/place/?q=place_id:ChIJP4IXLHKKXhMR5Hi79o3wOJw,Papastratos Archaeological Museum,"Kazantzaki 2, Agrinio 301 31, Greece",4.0,92,38.630542,21.409242,ok
Αρχαιολογικό Μουσείο Θέρμου,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,ChIJ5fzZefdXXhMRr36JkAXscFw,https://www.google.com/maps/place/?q=place_id:ChIJ5fzZefdXXhMRr36JkAXscFw,Archaeological Museum of Thermos,"ΣΩΤΗΡΙΑΔΗ - Κ.ΡΩΜΑΙΟΥ, Γ, Thermo 300 08, Greece",4.7,232,38.562264,21.669176,ok
Αρχαιολογικό Μουσείο Θυρρείου,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,ChIJGefTj1kvXBMR7kPuJk-YcOg,https://www.google.com/maps/place/?q=place_id:ChIJGefTj1kvXBMR7kPuJk-YcOg,Archaeological Museum of Thyrreio,"Θύριο 300 02, Greece",4.3,64,38.858916,20.984359,ok
Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,ChIJT-J9V6trXhMR4xU7S6PXiT8,https://www.google.com/maps/place/?q=place_id:ChIJT-J9V6trXhMR4xU7S6PXiT8,Xenokrateion Archaeological Museum of Messolonghi,"Asimaki Fotila 2, Missolonghi 302 00, Greece",4.9,330,38.370077,21.427626,ok
Αρχαιολογικό Μουσείο Άργους,Πελοποννήσου,Αργολίδας,ChIJkQnSWiX7nxQRrhPKxpVyL-0,https://www.google.com/maps/place/?q=place_id:ChIJkQnSWiX7nxQRrhPKxpVyL-0,Αρχαιολογικό Μουσείο Άργους,"Vasilissis Olgas, Argos 212 32, Greece",3.5,79,37.634481,22.726887,ok
Βυζαντινό Μουσείο Αργολίδας,Πελοποννήσου,Αργολίδας,ChIJo9Epkfz7nxQRJOwfuI-MWHg,https://www.google.com/maps/place/?q=place_id:ChIJo9Epkfz7nxQRJOwfuI-MWHg,Byzantine Museum of Argolis - BYMA,"Στρατώνες Καποδίστρια, Argos 212 00, Greece",4.6,385,37.635025,22.725312,ok
Αρχαιολογικό Μουσείο Ναυπλίου,Πελοποννήσου,Αργολίδας,ChIJhzX4o5f6nxQRwBA--voKkP8,https://www.google.com/maps/place/?q=place_id:ChIJhzX4o5f6nxQRwBA--voKkP8,Archaeological Museum of Nafplio,"Πλατεία Συντάγματος, Nafplio 231 00, Greece",4.7,1599,37.56611,22.796277,ok
Αρχαιολογικό Μουσείο Άστρους,Πελοποννήσου,Αρκαδίας,ChIJKaRVUVDnnxQREZWcFbyLyTo,https://www.google.com/maps/place/?q=place_id:ChIJKaRVUVDnnxQREZWcFbyLyTo,Archaeological Museum of Astros,"North Kynouria 220 01, Greece",3.8,45,37.406757,22.721053,ok
Συλλογή Αρχ/κή Δημητσάνας,Πελοποννήσου,Αρκαδίας,ChIJ5_Kb8ydmYBMRpap5CE8vY6o,https://www.google.com/maps/place/?q=place_id:ChIJ5_Kb8ydmYBMRpap5CE8vY6o,Open-Air Water Power Museum,"Κεφαλάρι Αϊ-Γιάννη, 220 07, Greece",4.7,4646,37.583144,22.047053,ok
Αρχαιολογικό Μουσείο Τεγέας,Πελοποννήσου,Αρκαδίας,ChIJu4UnDDo9YBMRRLRMxV0btx0,https://www.google.com/maps/place/?q=place_id:ChIJu4UnDDo9YBMRRLRMxV0btx0,Archaeological Museum of Tegea,"Αλέα, Τεγέας, Tegea 220 12, Greece",4.8,395,37.454113,22.420576,ok
Αρχαιολογικό Μουσείο Τρίπολης,Πελοποννήσου,Αρκαδίας,ChIJDT855vgWYBMRie9-WWoMuBw,https://www.google.com/maps/place/?q=place_id:ChIJDT855vgWYBMRie9-WWoMuBw,Archaeological Museum of Tripoli,"Spiliopoulou 2, Tripoli 221 00, Greece",4.2,148,37.508992,22.37399,ok
Αρχαιολογικό Μουσείο Άρτας,Ηπείρου,Άρτας,ChIJjekymHMbXBMRqBkvY7GJoCM,https://www.google.com/maps/place/?q=place_id:ChIJjekymHMbXBMRqBkvY7GJoCM,Archaeological Museum of Arta,"Trigono, Arta 471 00, Greece",4.6,847,39.149157,20.979487,ok
Ιερός ναός Παναγίας της Παρηγορήτισσας,Ηπείρου,Άρτας,ChIJTUip2GgbXBMRJ-4KRW2Upn4,https://www.google.com/maps/place/?q=place_id:ChIJTUip2GgbXBMRJ-4KRW2Upn4,Holy Church of the Virgin Mary Paregoretissa,"Parigoritras 3, Arta 471 00, Greece",4.7,412,39.158818,20.983339,ok
Μουσείο Ακρόπολης,Αττικής,Αττικής,ChIJ4eRGPxe9oRQRPAoBLGq0D7A,https://www.google.com/maps/place/?q=place_id:ChIJ4eRGPxe9oRQRPAoBLGq0D7A,Acropolis Museum,"Dionysiou Areopagitou 15, Athina 117 42, Greece",4.7,80463,37.96845,23.728523,ok
Αρχαιολογικό Μουσείο Κυθήρων,Αττικής,Αττικής,ChIJtbGN4s7pnRQRu1G9oNDGufQ,https://www.google.com/maps/place/?q=place_id:ChIJtbGN4s7pnRQRu1G9oNDGufQ,Archaeological Museum of Kythera,"Epar.Od. kythiron, Kithira 801 00, Greece",4.6,356,36.151042,22.985376,ok
Αρχαιολογικό Μουσείο Πειραιά,Αττικής,Αττικής,ChIJAcEyV-e7oRQR18uG6r85_vs,https://www.google.com/maps/place/?q=place_id:ChIJAcEyV-e7oRQR18uG6r85_vs,Archaeological Museum of Piraeus,"Char. Trikoupi 31, Pireas 185 36, Greece",4.6,1737,37.937155,23.644065,ok
Βυζαντινό και Χριστιανικό Μουσείο Αθηνών,Αττικής,Αττικής,ChIJES0SOUG9oRQRPJMyejC41c8,https://www.google.com/maps/place/?q=place_id:ChIJES0SOUG9oRQRPJMyejC41c8,Byzantine & Christian Museum,"Leof. Vasilissis Sofias 22, Athina 106 75, Greece",4.6,4860,37.975313,23.744628,ok
Βυζαντινό Μουσείο Κυθήρων,Αττικής,Αττικής,ChIJtbGN4s7pnRQRu1G9oNDGufQ,https://www.google.com/maps/place/?q=place_id:ChIJtbGN4s7pnRQRu1G9oNDGufQ,Archaeological Museum of Kythera,"Epar.Od. kythiron, Kithira 801 00, Greece",4.6,356,36.151042,22.985376,ok
Εθνική Πινακοθήκη - Μουσείο Αλ. Σούτζου,Αττικής,Αττικής,ChIJsbZO7ES9oRQRJIl9aIo_xJY,https://www.google.com/maps/place/?q=place_id:ChIJsbZO7ES9oRQRJIl9aIo_xJY,National Gallery - Alexandros Soutsos Museum,"Leof. Vasileos Konstantinou 50, Athina 115 25, Greece",4.6,5779,37.975621,23.749359,ok
Εθνικό Αρχαιολογικό Μουσείο Αθηνών,Αττικής,Αττικής,ChIJi_3FvzO9oRQRtILLqjSdogI,https://www.google.com/maps/place/?q=place_id:ChIJi_3FvzO9oRQRtILLqjSdogI,National Archaeological Museum,"28is Oktovriou 44, Athina 106 82, Greece",4.6,36972,37.989023,23.73276,ok
Εθνικό Ιστορικό Μουσείο,Αττικής,Αττικής,ChIJV4G4-Tu9oRQRGMYr8VrDqVM,https://www.google.com/maps/place/?q=place_id:ChIJV4G4-Tu9oRQRGMYr8VrDqVM,National Historical Museum - Old Parliament House,"ΜΕΓΑΡΟ ΠΑΛΑΙΑΣ ΒΟΥΛΗΣ ΠΛΑΤΕΙΑ ΚΟΛΟΚΟΤΡΩΝΗ, Stadiou 13, Athina 105 61, Greece",4.7,4611,37.977884,23.732881,ok
Ελληνικής Λαϊκής Τέχνης ( Τζαμί Τζισταράκη),Αττικής,Αττικής,ChIJ32xp6CK9oRQRT_pvMImX4fE,https://www.google.com/maps/place/?q=place_id:ChIJ32xp6CK9oRQRT_pvMImX4fE,Museum of Modern Greek Culture (Tzistarakis Mosque),"Areos 10, Athina 105 55, Greece",4.4,639,37.975882,23.725878,ok
Επιγραφικό Αθηνών,Αττικής,Αττικής,ChIJt9f6N1y9oRQRBu3VvLfVpyQ,https://www.google.com/maps/place/?q=place_id:ChIJt9f6N1y9oRQRBu3VvLfVpyQ,Epigraphic Museum,"Tositsa 1, Athina 106 82, Greece",4.7,383,37.988657,23.732292,ok
Μουσείο Παύλου και Αλεξάνδρας Κανελλοπούλου,Αττικής,Αττικής,ChIJAYDhQRi9oRQRd78zEPxtUYo,https://www.google.com/maps/place/?q=place_id:ChIJAYDhQRi9oRQRd78zEPxtUYo,Paul and Alexandra Canellopoulos Museum,"Theorias 12, Athina 105 58, Greece",4.6,185,37.972918,23.726043,ok
Αρχαιολογικό Μουσείο Λαυρίου,Αττικής,Αττικής,ChIJMfdHb3n0oRQR25AXRx0ONyY,https://www.google.com/maps/place/?q=place_id:ChIJMfdHb3n0oRQR25AXRx0ONyY,Archaeological Museum of Lavrion,"Laurium 195 00, Greece",4.4,322,37.716828,24.053912,ok
Αρχαιολογικό Μουσείο Μεγάρων,Αττικής,Αττικής,ChIJXaS4JYNMoBQRjaHWojpwtxQ,https://www.google.com/maps/place/?q=place_id:ChIJXaS4JYNMoBQRjaHWojpwtxQ,Archaeological Museum of Megara,"Menidiati 48, Megara 191 00, Greece",4.5,173,37.997262,23.345766,ok
